Keyword,Title,Source,Link,Snippet
Lebanon,What we know about firm linked to Lebanon pagers,BBC News,https://www.bbc.com/news/articles/cew12r5qe1ro,"BBC Verify has looked into a firm called BAC Consulting, which has been linked to the pagers' production."
Lebanon,"'Send us a plane', Britons in Lebanon urge PM",BBC News,https://www.bbc.com/news/articles/cly2rglnn42o,More Britons in Lebanon tell the BBC about the increasingly desperate situation there as war looms.
Lebanon,BBC Verify examines footage revealing scale of damage in Lebanon,BBC News,https://www.bbc.com/news/videos/c5y9krkg7ego,BBC Verify’s Nick Eardley analyses videos that reveal the extent of damage caused by Israeli strikes.
Lebanon,Mum fears for Belfast toddler who won’t be leaving Lebanon,BBC News,https://www.bbc.com/news/articles/c8dj1743nd6o,The BBC speaks to a father in Beirut after the High Court rules he should be returned to his mother in Belfast.
Lebanon,Scottish family anger after mum is blocked from fleeing Lebanon,BBC News,https://www.bbc.com/news/articles/cx25egegpx6o,Nadia Ayoub McCulloch was turned away by officials as she does not have a UK passport or visa.
Lebanon,Lebanon hospitals close as Israeli strikes hit health facilities,BBC News,https://www.bbc.com/news/articles/c30lj9m300vo,The World Health Organisation says at least 37 facilities have shut and dozens of medical staff have died.
Lebanon,Walkie-Talkies Explode in Lebanon as Part of a Second Wave of Attacks,Gizmodo.com,https://gizmodo.com/walkie-talkies-explode-in-lebanon-as-part-of-a-second-wave-of-attacks-2000500325,Beirut said that the new explosions have killed 9 and injured 300.
Lebanon,‘No guarantee’ of way out for Brits who stay,BBC News,https://www.bbc.com/news/articles/cgk7nnr0y06o,"Britons tell the BBC of the ""trauma"" of trying to get back to the UK, saying they feel abandoned by the government."
Lebanon,Leaving 'only choice' say sisters on Beirut flight,BBC News,https://www.bbc.com/news/articles/cqlvzqkgd2eo,The three young women are among UK nationals boarding a government charter flight out of Beirut.
Lebanon,"One week on, how the Lebanon attacks have changed the Middle East",BBC News,https://www.bbc.com/news/articles/c5y8gv1d8j8o,David Aaronovitch asks why the operation was carried out - and what we can expect in the weeks ahead.
Lebanon,UK charities launch Middle East Humanitarian Appeal,BBC News,https://www.bbc.com/news/articles/cm29renmv91o,The Disasters Emergency Committee says the government will match the first £10m raised in donations.
Lebanon,Who is Hezbollah leader Hassan Nasrallah?,BBC News,https://www.bbc.com/news/articles/c1wnp0vln19o,He played a key role in turning Hezbollah into the political and military force it is today.
Lebanon,"Bowen: Israel is gambling Hezbollah will crumple but it faces a well-armed, angry enemy",BBC News,https://www.bbc.com/news/articles/c93pg1qpxxzo,The Lebanese armed group has - like Israel - spent years preparing and is more formidable than Hamas in Gaza.
Lebanon,Israel says top Hezbollah commander killed in Beirut strike,BBC News,https://www.bbc.com/news/articles/c5y9wyy9pr2o,"The strike in Lebanon's capital, which killed at least 14 people, adds to fears of an all-out war."
Lebanon,Israel Moves Closer to All-Out War With Hezbollah in Lebanon,NPR,https://www.npr.org/2024/09/23/1201324620/israel-moves-closer-to-all-out-war-with-hezbollah-in-lebanon,"Israeli airstrikes in Lebanon kill over 350 and injure more than 1,000. The attacks were mostly in southern Lebanon where Hezbollah militants have been trading fire across the border with Israel since the war in Gaza began. Our correspondent is there in the s…"
Lebanon,What is the U.N. peacekeeping force stationed in Lebanon?,NPR,https://www.npr.org/2024/10/11/nx-s1-5150044/un-peacekeepers-lebanon-israel-united-nations,"The mission was created in 1978 to help restore order after Israel's first invasion of Lebanon. Decades later, it's still there but has come under fire during a new Israeli invasion in Lebanon."
Lebanon,The two forces at work on Biden-Netanyahu phone call,BBC News,https://www.bbc.com/news/articles/cx2lr0jd37xo,"The US fears getting dragged into a war with Iran, while some Israelis want to deal it a body blow, Jeremy Bowen writes."
Lebanon,"Israel Invades Lebanon, Iran Attacks Israel",NPR,https://www.npr.org/2024/10/01/1202891553/israel-invades-lebanon-iran-attacks-israel,"Iran launched long-range missiles against Israel, just hours after Israeli forces launched a ground offensive into southern Lebanon against Iran's main proxy, Hezbollah. The dramatic escalation is raising fears of an all-out war in the Middle East. We hear fr…"
Lebanon,Everything We Know About Lebanon’s Exploding Pagers,Gizmodo.com,https://gizmodo.com/everything-we-know-about-lebanons-exploding-pagers-2000500259,"The old technology is used because it's more durable, reliable, and was thought to be more secure from attack."
Lebanon,Bowen: Israel believes it has weakened Hezbollah but escalation still carries risks,BBC News,https://www.bbc.com/news/articles/c2kdg7jwvz7o,Israel's allies and critics believe the way to cool this crisis is to get a ceasefire in Gaza - but no agreement is in sight.
Lebanon,Over 60 injured in drone attack on Israel,BBC News,https://www.bbc.com/news/articles/c9dy294gweyo,Hezbollah says it targeted a training camp of the Israeli Defence Forces' Golani Brigade.
Lebanon,Photos show Israel's F-15I Ra'am 'Thunder' fighter jets used to target Hezbollah leaders in Lebanon,Business Insider,https://www.businessinsider.com/israel-airstrikes-lebanon-fighter-jets-raam-thunder-2024-10,The Israel Defense Force said it used fighter jets to target Hezbollah leaders in Lebanon.
Lebanon,Israel appears to have pushed Hezbollah into a corner — setting the stage for an all-out war,Business Insider,https://www.businessinsider.com/israel-pushed-hezbollah-corner-may-trigger-an-all-out-war-2024-9,Israel has inflicted a series of humiliating blows on the Hezbollah militia in neighboring Lebanon.
Lebanon,"UK troops didn't need to engage, says Healey",BBC News,https://www.bbc.com/news/articles/cm24e419j8po,The UK defence secretary says Israel’s defences were able to deal with the threat.
Lebanon,Israel and Hezbollah continue to trade fire as residents in Lebanon look for safety,NPR,https://www.npr.org/2024/09/24/g-s1-24287/israel-hezbollah-trade-fire-lebanon,The trade of cross-border missiles came after the deadliest day of conflict in Lebanon since 2006.
Lebanon,"Another wave of blasts hits Lebanon, as Hezbollah reels from pager explosions",NPR,https://www.npr.org/2024/09/18/g-s1-23577/pagers-devices-explode-hezbollah-lebanon-israel,"Following Tuesday's stunning attack on pagers, Lebanon was hit by another deadly wave of exploding communications devices on Wednesday."
Lebanon,First Israel’s Exploding Pagers Maimed and Killed. Now Comes the Paranoia,Wired,https://www.wired.com/story/hezbollah-israel-exploding-pagers-paranoia/,The explosion of thousands of rigged pagers and walkie-talkies will likely make Hezbollah operatives fear any means of electronic communication. It’s having the same effect on the Lebanese population.
Lebanon,Pagers explode across Lebanon in deadly attack against Hezbollah,Business Insider,https://www.businessinsider.com/pager-explosion-lebanon-attack-hezbollah-israel-2024-9,An attack on Hezbollah killed at least eight and left thousands of people across Lebanon injured when pagers unexpectedly detonated.
Lebanon,"Israel's airstrikes and incursion against Hezbollah show that the US can't easily rein in Netanyahu, foreign policy experts say",Business Insider,https://www.businessinsider.com/israel-airstrikes-incursion-hezbollah-netanyahu-unreliable-partner-2024-9,"Prime Minister Benjamin Netanyahu's actions in Lebanon against Hezbollah show he cannot be constrained by US, foreign policy experts said."
Lebanon,The US is sending more troops to the Middle East to help US citizens flee as Israel-Hezbollah clashes intensify,Business Insider,https://www.businessinsider.com/israel-hezbollah-us-sending-troops-middle-east-help-us-citizens-2024-9,It comes after Lebanon had its deadliest day for decades on Monday after Israel ramped up strikes on the country.
Lebanon,Israel launches ground operation into Lebanon to destroy Hezbollah strongholds,Business Insider,https://www.businessinsider.com/israel-launches-ground-offensive-into-lebanon-destroy-hezbollah-targets-2024-9,"The move officially opens up a new front between Israel and the Iran-backed militant group, which have traded strikes for almost a year."
Lebanon,Explosions across Lebanon as tensions with Israel escalate,Business Insider,https://www.businessinsider.com/hezbollah-israel-pager-attack-deaths-bomb-war-2024-9,"Hezbollah called Israel's pager attack a ""declaration of war"" after days of heightened tensions."
Lebanon,How Israel Built and Sold Explosive Pagers to Hezbollah,Gizmodo.com,https://gizmodo.com/how-israel-built-and-sold-explosive-pagers-to-hezbollah-2000500871,"It took years, three different shell companies, and an explosive called pentaerythritol tetranitrate, according to reports."
Lebanon,Israel sends more troops to Lebanon as it vows a 'painful' response to Iran's missiles,NPR,https://www.npr.org/2024/10/02/nx-s1-5136592/israel-lebanon-iran-missile-attack-hezbollah,"The Middle East is bracing for a wider war as Israel fights in Gaza and Lebanon, and promises a strong response to Iran's missile strikes."
Lebanon,From pager blasts to Nasrallah’s killing: 12 days that transformed a bloody war,NPR,https://www.npr.org/2024/09/29/g-s1-25348/israel-hezbollah-lebanon-hassan-nasrallah-timeline,NPR steps back and takes a closer look at the days leading up to the killing of Hezbollah's leader. Experts say this development has transformed an already complex and deadly conflict.
Lebanon,Hamas says its leader in Lebanon was killed in an Israeli strike,Business Insider,https://www.businessinsider.com/hamas-says-leader-in-lebanon-killed-in-israel-air-strike-2024-9,"Fateh Sherif Abu el-Amin, Hamas' leader in Lebanon, was killed in an Israeli air strike, according to the militant group, the latest notable death."
Lebanon,"Fearing an Israeli invasion, 1 million people flee homes in Lebanon",Business Insider,https://www.businessinsider.com/lebanon-israel-invasion-flee-bombings-hezbollah-refugee-2024-9,Close to a million people were forced out of their homes in Lebanon after attacks between Israel and Hezbollah escalated over the weekend.
Lebanon,Photos show the chaos and devastation left in the wake of Israel's deadly blitz on Hezbollah's missiles,Business Insider,https://www.businessinsider.com/israel-deadly-blitz-hezbollah-lebanon-photos-2024-9,"Thousands fled their homes in southern Lebanon, crowding highways and makeshift shelters as Israel unleashed an air war on Hezbollah's arsenal."
Lebanon,"I'm an expat living in Lebanon. I've struggled over whether to leave, but I won't because I love this country.",Business Insider,https://www.businessinsider.com/expat-beirut-lebanon-says-wont-leave-israel-strikes-loves-country-2024-9,"Israeli strikes have led to calls on foreigners to leave Lebanon, but Brigitte Chahwan, who's lived there for 30 years, says she has no plans to go."
Lebanon,"Israel faces a major issue in how deep it should go in Lebanon, security experts say",Business Insider,https://www.businessinsider.com/israel-faces-dilemma-how-far-go-army-lebanon-hezbollah-experts-2024-10,Israel launched limited incursions into Lebanon on Tuesday. Security experts said it could get entangled in a prolonged fight if it goes deeper.
Lebanon,The detonation of pagers used by Hezbollah shows the depths of supply-chain infiltration,Business Insider,https://www.businessinsider.com/israel-hezbollah-pager-walkie-talkies-explosion-supply-chain-infilitration-2024-9,"The scale of the pager explosions in Lebanon requires months of planning, intelligence, and infiltration of supply chain, an arms expert told BI."
Lebanon,Lebanon's government urges international community for support amid Israel’s invasion,NPR,https://www.npr.org/2024/10/01/nx-s1-5134606/lebanon-israel-invasion-hezbollah-international-support,"Lebanese Prime Minister Najib Mikati said his country was facing “one of the most dangerous phases of its history” amid Israel’s ground incursion into southern Lebanon, which began late Monday."
Lebanon,"Iran is poised to attack Israel, officials say, fueling Mideast turmoil",NPR,https://www.npr.org/2024/10/01/g-s1-25707/iran-israel-hezbollah-lebanon-attack,The threat comes as Israel launches a ground incursion against the Iran-backed militant group Hezbollah in southern Lebanon. Israel killed longtime Hezbollah leader Hassan Nasrallah in airstrikes last week.
Lebanon,The meaning behind Israel's right to defend itself.,NPR,https://www.npr.org/2024/10/16/1211596815/the-meaning-behind-israels-right-to-defend-itself,"""Israel has a right to defend itself and its people."" It's a phrase that's been spoken by Israel's allies – and American presidents – for decades, especially in the days after Israel launched its war in Gaza after the October 7th attack by Hamas. <br><br>But …"
Lebanon,"Israel's strikes in Lebanon kill more than 180 people, Lebanese officials say",NPR,https://www.npr.org/2024/09/23/nx-s1-5123377/israel-lebanon-hezbollah-fighting,Fighting is escalated at the Israeli-Lebanese border in one of the deadliest days of nearly a year of conflict in the region.
Lebanon,More devices are blowing up in Lebanon a day after Hezbollah pagers fatally exploded,Business Insider,https://www.businessinsider.com/more-devices-explode-in-lebanon-after-deadly-hezbollah-pager-blasts-2024-9,"At least a dozen people were killed, and thousands more were left injured by the blasts on Tuesday targeting Hezbollah devices."
Lebanon,The Middle East is on high alert for October 7 anniversary attacks as Israel intensifies strikes on Gaza and Lebanon,Business Insider,https://www.businessinsider.com/middle-east-israel-iran-lebanon-high-alert-october-anniversary-attacks-2024-10,"Israel said it is ""ready with increased forces"" as it marked the one-year anniversary of the terror attacks by Hamas."
Lebanon,An airstrike hits a Beirut residential building as Israel expands attacks in Lebanon,NPR,https://www.npr.org/2024/09/30/g-s1-25396/israel-beirut-lebanon-hezbollah,The first apparent Israeli airstrike on central Beirut in nearly a year of conflict leveled an apartment building early Monday. It came after Israel hit targets across Lebanon and killed dozens of people.
Lebanon,"In separate strikes, Israel kills 2 Lebanese soldiers and injures 2 U.N. peacekeepers",NPR,https://www.npr.org/2024/10/11/nx-s1-5150126/israel-lebanon-strikes-un-peacekeepers-lebanese-soldiers,"The Israeli attack on the Lebanese army came hours after Israeli troops fired on the headquarters of U.N. peacekeepers in southern Lebanon, injuring two peacekeepers for the second time this week."
Lebanon,IDF prepares to invade southern Lebanon as 2 more Hezbollah leaders are presumed dead,NPR,https://www.npr.org/2024/09/29/g-s1-25330/idf-strikes-hezbollah-invasion-lebanon,"At least 11 people were killed in the latest Israeli airstrikes, according to Lebanon’s National News Agency. The Israeli military, meanwhile, says it’s preparing for a ground invasion into southern Lebanon."
Lebanon,Hezbollah may copy tactics used by Russia in Ukraine to overwhelm Israel,Business Insider,https://www.businessinsider.com/hezbollah-copy-tactics-used-by-russia-in-ukraine-on-israel-2024-9,Hezbollah has reportedly learned valuable lessons from Russia that it could deploy against Israel.
Lebanon,Your Phone Won’t Be the Next Exploding Pager,Wired,https://www.wired.com/story/exploding-pagers-hezbollah-phones/,"Thousands of beepers and two-way radios exploded in attacks against Hezbollah, but mainstream consumer devices like smartphones aren’t likely to be weaponized the same way."
Lebanon,"Walkie-Talkies, Solar Energy Systems Explode Across Lebanon in Second Wave After Pager Attack",Slashdot.org,https://news.slashdot.org/story/24/09/18/1522246/walkie-talkies-solar-energy-systems-explode-across-lebanon-in-second-wave-after-pager-attack,"An anonymous reader shares a report: Israel blew up thousands of two-way personal radios used by Hezbollah members in Lebanon in a second wave of an intelligence operation that started on Tuesday with the explosions of pager devices, two sources with knowledg…"
Lebanon,"Over 90,000 people in Lebanon had to flee Israel's bombardments this week",NPR,https://www.npr.org/2024/09/26/nx-s1-5127325/israel-hezbollah-conflict-lebanon-displaced-residents,"With Israel and Hezbollah locked in the fiercest fighting in decades, many Lebanese have taken refuge in schools, hotels and other shelters."
Lebanon,Israel says it struck Hezbollah's headquarters as huge explosions rocked Beirut,NPR,https://www.npr.org/2024/09/27/nx-s1-5131238/israel-strikes-hezbollah-headquarters-beirut-lebanon,"The Israeli military said it carried out an airstrike on the headquarters of Hezbollah in Beirut, shortly after Israeli Prime Minister Benjamin Netanyahu addressed the United Nations."
Lebanon,Israeli commandos raid Lebanon — the latest sign Netanyahu is ignoring Biden's warnings,Business Insider,https://www.businessinsider.com/netanyahu-biden-warnings-war-seriously-lebanon-hezbollah-israel-ground-incursion-2024-9,"Benjamin Netanyahu is rapidly escalating Israel's campaign against its regional foes, and trampling on US diplomatic efforts in the process."
Lebanon,Israeli Airstrikes Rock Southern Suburbs of Beirut and Cut Off a Key Crossing Into Syria,Time,https://time.com/7048993/israeli-airstrikes-beirut-cut-off-key-syria-crossing/,The new wave of strikes come after Israel warned people to evacuate communities in southern Lebanon.
Lebanon,‘The Israelis are going to go in’: Former CIA Officer Robert Baer,Newsnationnow.com,https://www.newsnationnow.com/cuomo-show/israels-going-to-go-in-former-cia-officer-robert-baer/,Baer says the explosions of pagers and VHF radios in Lebanon is a logical prelude to an invasion.
Lebanon,'Kill him first': Israel eyes top level targets,Yahoo Entertainment,https://www.yahoo.com/news/kill-him-first-israel-eyes-095540746.html,"After the killing of Hezbollah's leader in Lebanon, Prime Minister Benjamin Netanyahu boasted Israel had ""settled the score"".- 'Massive degrading..."
Lebanon,[Removed],[Removed],https://removed.com,[Removed]
Lebanon,UN says tens of thousands flee Lebanon strikes,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_77409e18-a639-4dfb-b3eb-4055b6f7ba0f,
Lebanon,Hezbollah and IDF exchange heavy fire across Israel-Lebanon border,Yahoo Entertainment,https://www.yahoo.com/news/hezbollah-idf-exchange-heavy-fire-114702949.html,The Hezbollah militia reported launching an attack on an industrial complex and an Israeli military base near the port city of Haifa in northern Israel early...
Lebanon,Iran vows response to Guards deputy commander killing in Lebanon,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_ba56155d-110b-477d-8643-a6a598c2c4b0,
Lebanon,"American killed in Israeli airstrike in Lebanon, family says",Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_8646dbd6-2beb-4c9b-932e-326e2d4c02c3,
Lebanon,China 'firmly supports' Lebanon in safeguarding its security,Yahoo Entertainment,https://www.yahoo.com/news/china-firmly-supports-lebanon-safeguarding-030113319.html,China's Foreign Minister Wang Yi told Lebanese Foreign Minister Abdallah Bou Habib on Monday that China firmly supported Lebanon in safeguarding its...
Lebanon,More than 350 killed in massive Israeli airstrikes on Lebanon,Yahoo Entertainment,https://www.yahoo.com/news/more-350-killed-massive-israeli-194626610.html,"More than 350 people have been killed and over 1,000 injured across southern and eastern Lebanon, the Health Ministry said in Beirut on Monday, as Israel..."
Lebanon,Israel Risks War in Lebanon After ‘Limited’ Invasion Against Hezbollah,Daily Beast,https://www.thedailybeast.com/israel-risks-war-in-lebanon-after-military-confirms-limited-invasion-against-hezbollah,"Israeli ground forces entered southern Lebanon on Monday evening, the Israeli Defense Force confirmed, in a significant escalation in the country’s conflict ..."
Lebanon,Hezbollah faces backlash in Lebanon as Israel's invasion widens,Yahoo Entertainment,https://www.yahoo.com/news/hezbollah-faces-backlash-lebanon-israels-162205140.html,Hezbollah critics and supporters alike are voicing frustration over what many view as the group's miscalculations.
Lebanon,Middle East latest: An Israeli airstrike cuts a major highway linking Lebanon with Syria,Yahoo Entertainment,https://www.yahoo.com/news/middle-east-latest-israeli-airstrike-065802371.html,"An Israeli airstrike has cut off a main highway linking Lebanon with Syria, leaving two huge craters on either side of the road.  The airstrike Friday..."
Lebanon,"Israel may have military superiority, but it lacks a clear strategic vision, say experts",Business Insider,https://www.businessinsider.com/israel-military-superiority-lacks-strategic-vision-iran-lebanon-gaza-war-2024-10,"Israel may have achieved tactical gains against Hamas and Hezbollah, but it lacks a long-term strategy to end the war, security experts told BI."
Lebanon,"Israeli launches new airstrikes on Beirut, weighs retaliation against Iran",Business Insider,https://www.businessinsider.com/israel-beirut-lebanon-hezbollah-iran-middle-east-war-hamas-gaza-2024-10,"Israel launched an airstrike on a Beirut neighborhood on Thursday, killing nine people."
Lebanon,Israel and Hezbollah Renew Fire After Deadliest Day for Lebanon in Decades,Time,https://time.com/7023892/thousands-flee-southern-lebanon-hezbollah-srael/,"The death toll has risen to 558 in Lebanon since Monday, the deadliest day for the country in decades."
Lebanon,"Israel Extends Evacuation Warnings in Lebanon, Signaling a Wider Offensive",Time,https://time.com/7030021/israel-extends-evacuation-warnings-lebanon-signaling-wider-offensive/,The Israeli military on Thursday warned people to evacuate a city and other communities in southern Lebanon.
Lebanon,US and allies call for an immediate 21-day cease-fire between Israel and Hezbollah,NPR,https://www.npr.org/2024/09/25/g-s1-24617/us-and-allies-call-for-an-immediate-21-day-cease-fire-between-israel-and-hezbollah,"The U.S., France and other allies jointly called Wednesday for an immediate 21-day cease-fire to allow for negotiations in the escalating conflict between Israel and Hezbollah."
Lebanon,Health Ministry: 100 killed and 400 injured in latest Israeli attacks,Yahoo Entertainment,https://www.yahoo.com/news/health-ministry-100-killed-400-114640329.html,"The death toll has risen to 100 people and more than 400 others have been injured in Israeli airstrikes in Lebanon, the Lebanese Ministry of Health said on..."
Lebanon,Turkey calls on West to take 'deterrent steps' against Israeli action,Yahoo Entertainment,https://ca.news.yahoo.com/turkey-calls-west-deterrent-steps-130240396.html,"Attacks on Lebanon this week showed that the Israeli government planned to spread the war to the region, Turkey's President Tayyip Erdogan said on Saturday, ..."
Lebanon,Gold Apollo says it did not make pagers used in Lebanon explosions,Yahoo Entertainment,https://ca.news.yahoo.com/gold-apollo-says-did-not-021007964.html,"NEW TAIPEI (Reuters) -Taiwan's Gold Apollo did not make the pagers that were used in the detonations in Lebanon on Tuesday, the company's founder Hsu Ching..."
Lebanon,Who made the exploding pagers? A messy global trail emerges behind deadly Lebanon blasts,Yahoo Entertainment,https://www.yahoo.com/news/made-exploding-pagers-messy-global-083755674.html,Gold Apollo electronics manufacturer in Taiwan said that it did not make the pagers used by members of Hezbollah that exploded simultaneously across Lebanon.
Lebanon,Destruction in southern Lebanese city of Nabatieh after intensive Israeli airstrikes,Yahoo Entertainment,https://www.yahoo.com/news/destruction-southern-lebanese-city-nabatieh-133810247.html,"Israel continued its intensive airstrikes across Lebanon on Wednesday, striking many villages and Beirut suburbs. The streets of Nabatieh, one of the largest..."
Lebanon,"Who was Hassan Nasrallah, the Hezbollah leader killed by Israel?",NPR,https://www.npr.org/2024/09/28/g-s1-25302/who-was-hassan-nasrallah-the-hezbollah-leader-killed-by-israel,"Under his leadership, Hezbollah, funded by Iran, became one of the most powerful militias in the Middle East, boasting a military force stronger even than the Lebanese army."
Lebanon,Israel's military says it killed top Hezbollah leader in airstrikes,NPR,https://www.npr.org/2024/09/28/g-s1-25279/israels-military-says-it-killed-hezbollah-leader,"Hezbollah has not confirmed the death of its longtime leader Hassan Nasrallah. If confirmed, it would mark a significant escalation many fear is inching towards a larger regional war."
Lebanon,Hezbollah may have enough missiles to breach Israel's Iron Dome. But doing so could trigger its destruction.,Business Insider,https://www.businessinsider.com/hezbollah-breach-israel-iron-dome-likely-backfire-destruction-lebanon-2024-9,"Hezbollah may have stockpiles of up to 200,000 missiles. But Israel's counting on it backing down."
Lebanon,Netanyahu used his UN visit to 'trick' Hezbollah chief Nasrallah: report,Business Insider,https://www.businessinsider.com/netanyahu-tricked-nasrallah-with-un-speech-official-says-2024-9,"Israeli Prime Minister Benjamin Netanyahu's speech at the UN was part of a ""diversionary plan,"" a senior Israeli official told The Telegraph."
Lebanon,"Cyprus breached right of 2 Syrian cousins to seek asylum, European court says",Yahoo Entertainment,https://www.yahoo.com/news/cyprus-breached-2-syrian-cousins-141511402.html,Europe’s top human rights court ruled on Tuesday that Cyprus violated the right of two Syrian nationals to seek asylum in the island nation after keeping...
Lebanon,There Are No Winners in a Israel-Hezbollah War,Time,https://time.com/7023965/lebanon-hezbollah-israel-gaza/,"A barrage of Israeli strikes since Monday has killed at least 558 people in Lebanon, and raised fears of a devastating all-out war."
Lebanon,Heavy Israeli Bombardment in Northern Gaza as U.N. Peacekeepers in Lebanon Are Hit Again,Time,https://time.com/7086350/israeli-bombardment-northern-gaza-united-nations-peacekeeping-force-lebanon/,Israel’s military renewed its offensive in northern Gaza almost a week ago while escalating its campaign against the Hezbollah in Lebanon.
Lebanon,Middle East latest: Israeli military says it killed a senior Hezbollah commander in Beirut strike,Yahoo Entertainment,https://www.yahoo.com/news/middle-east-latest-israeli-military-054341086.html,"The Israeli military said Tuesday it had killed a senior Hezbollah commander in a strike on Beirut, a day after the one-year anniversary of the Oct. 7 attack..."
Lebanon,Israel-Gaza live updates: IDF strikes Lebanon after 115 Hezbollah launches,ABC News,https://abcnews.go.com/International/live-updates/israel-hamas-war-latest/?id=113717834,Israeli and Hezbollah forces have exchanged hundreds of strikes following Israel's recent attacks inside Lebanon.
Lebanon,Oil prices are rising amid the Middle East war. What does it mean for the election?,ABC News,https://abcnews.go.com/Business/oil-prices-rising-amid-middle-east-war-election/story?id=114591050,Oil prices have surged in recent weeks as the Israel-Gaza-Lebanon war escalates.
Southern Lebanon,Displaced people shelter in Lebanese school,BBC News,https://www.bbc.com/news/videos/clyl8gxxm9lo,"As Israel continues to bombard southern Lebanon, thousands of civilians are fleeing their homes."
Southern Lebanon,What satellite data shows about rocket damage in Lebanon,BBC News,https://www.bbc.com/news/videos/cjwdqx6e2yjo,"After rocket attacks between Hezbollah and Israeli forces ramped up, the damage in southern Lebanon is clear"
Southern Lebanon,Five dead in Israeli air strike on central Beirut,BBC News,https://www.bbc.com/news/articles/c8rd0gnv68jo,It is the first Israeli strike so close to the centre of Beirut in Lebanon in the current conflict.
Southern Lebanon,"Amid Air Strikes and Rockets, an SMS From the Enemy",Wired,https://www.wired.com/story/amid-air-strikes-and-rockets-an-sms-from-the-enemy/,"As Israel intensifies its attacks on Lebanon, eerie messages have been arriving on the phones of civilians on both sides of the border, with authorities in each country accusing the other of psychological warfare."
Southern Lebanon,"Israeli strikes on Lebanon causing ‘carnage’, health minister says",BBC News,https://www.bbc.com/news/articles/c748n1258z1o,Firass Abiad says many of the 550 people killed in Monday’s attacks targeting Hezbollah were civilians.
Southern Lebanon,Pregnant British woman's 'guilt' over fleeing Lebanon,BBC News,https://www.bbc.com/news/articles/c5y8emq35y1o,"Alla Ghalayini, who arrived in London on Sunday, says she can ""still hear the bombs"" from Israeli air strikes."
Southern Lebanon,Lebanon hospitals close as Israeli strikes hit health facilities,BBC News,https://www.bbc.com/news/articles/c30lj9m300vo,The World Health Organisation says at least 37 facilities have shut and dozens of medical staff have died.
Southern Lebanon,Who is Hezbollah leader Hassan Nasrallah?,BBC News,https://www.bbc.com/news/articles/c1wnp0vln19o,He played a key role in turning Hezbollah into the political and military force it is today.
Southern Lebanon,Israel Moves Closer to All-Out War With Hezbollah in Lebanon,NPR,https://www.npr.org/2024/09/23/1201324620/israel-moves-closer-to-all-out-war-with-hezbollah-in-lebanon,"Israeli airstrikes in Lebanon kill over 350 and injure more than 1,000. The attacks were mostly in southern Lebanon where Hezbollah militants have been trading fire across the border with Israel since the war in Gaza began. Our correspondent is there in the s…"
